mysql> SELECT COUNT(*) as count, home_score, away_score FROM pl_games WHERE week != 0 AND season < 2008 GROUP BY home_score, away_score ORDER BY count DESC;
+-------+------------+------------+
| count | home_score | away_score |
|     1 |         10 |         56 | 
|     1 |         34 |         16 | 
|     1 |         36 |         10 | 
|     1 |         23 |         12 | 
|     1 |         26 |         31 | 
|     1 |          6 |         16 | 
|     1 |         48 |         20 | 
|     1 |         33 |         15 | 
|     1 |         58 |         48 | 
|     1 |         17 |         16 | 
|     1 |         13 |         37 | 
|     1 |         16 |         31 | 
|     1 |         13 |         38 | 
|     1 |         12 |         10 | 
|     1 |         26 |         39 | 
|     1 |         26 |         13 | 
|     1 |         51 |         45 | 
|     1 |         10 |         19 | 
|     1 |         17 |         37 | 
|     1 |         45 |         31 | 
|     1 |         19 |         17 | 
|     1 |          0 |         20 | 
|     1 |         14 |         34 | 
|     1 |         17 |         19 | 
|     1 |         15 |         10 | 
|     1 |         19 |         30 | 
|     1 |         28 |          7 | 
|     1 |         20 |         38 | 
|     1 |          7 |          9 | 
|     1 |         24 |         13 | 
|     1 |         38 |         49 | 
|     1 |         23 |         26 | 
|     1 |         31 |         26 | 
|     1 |         36 |         30 | 
|     1 |         26 |         16 | 
|     1 |         35 |         13 | 
|     1 |         23 |         22 | 
|     1 |          6 |         31 | 
|     1 |         22 |         33 | 
|     1 |         26 |          6 | 
|     1 |         30 |         17 | 
|     1 |         20 |          9 | 
|     1 |         20 |         44 | 
|     1 |         50 |         14 | 
|     1 |         49 |         14 | 
|     1 |         14 |         28 | 
|     1 |          6 |         27 | 
|     1 |          9 |          0 | 
|     1 |         26 |         17 | 
|     1 |          3 |         41 | 
|     1 |         48 |         19 | 
|     1 |         32 |         35 | 
|     1 |         16 |         26 | 
|     1 |         28 |         25 | 
|     1 |         41 |         34 | 
|     1 |         17 |         35 | 
|     1 |         38 |         30 | 
|     1 |         10 |          7 | 
|     1 |         36 |         14 | 
|     1 |         21 |         34 | 
|     1 |         17 |         29 | 
|     1 |          9 |         19 | 
|     1 |         18 |         10 | 
|     1 |         28 |         22 | 
|     1 |         45 |         27 | 
|     1 |         27 |         37 | 
|     1 |         28 |         41 | 
|     1 |         16 |          7 | 
|     1 |         42 |         24 | 
|     1 |         14 |         42 | 
|     1 |          5 |         24 | 
|     1 |         21 |         41 | 
|     1 |         38 |         10 | 
|     1 |         10 |         34 | 
|     1 |         33 |         22 | 
|     1 |         27 |         25 | 
|     1 |         32 |         29 | 
|     1 |         17 |         41 | 
|     1 |         33 |         21 | 
|     1 |         21 |         33 | 
|     1 |          9 |         17 | 
|     1 |         22 |         35 | 
|     1 |         41 |          7 | 
|     1 |         29 |          6 | 
|     1 |         42 |         14 | 
|     1 |        43 |         24 | 
|     1 |         17 |         42 | 
|     1 |         19 |         48 | 
|     1 |         24 |         37 | 
|     1 |          9 |         38 | 
|     1 |         20 |         34 | 
|     1 |         14 |         16 | 
|     1 |         34 |         15 | 
|     1 |         17 |         33 | 
|     1 |         26 |         10 | 
|     1 |         17 |         12 | 
|     1 |         26 |         24 | 
|     1 |         13 |         33 | 
|     1 |         24 |         29 | 
|     1 |         19 |         24 | 
|     1 |         37 |         31 | 
|     1 |         21 |         40 | 
|     1 |         30 |         21 | 
|     1 |         34 |         23 | 
|     1 |          3 |         37 | 
|     1 |         13 |          9 | 
|     1 |          8 |          0 | 
|     1 |         21 |         49 | 
|     1 |         41 |         14 | 
|     1 |         11 |         27 | 
|     1 |         20 |         30 | 
|     1 |         36 |         38 | 
|     1 |         38 |         15 | 
|     1 |         18 |         17 | 
|     1 |         16 |          6 | 
|     1 |         24 |         38 | 
|     1 |         35 |         24 | 
|     1 |         10 |         30 | 
|     1 |         27 |         12 | 
|     1 |          3 |          0 | 
|     1 |         17 |         15 | 
|     1 |         37 |         16 | 
|     1 |         10 |          3 | 
|     1 |         34 |         40 | 
|     1 |         28 |         24 | 
|     1 |         29 |         30 | 
|     1 |         44 |          7 | 
|     1 |         28 |          3 | 
|     1 |         38 |          5 | 
|     1 |         16 |         14 | 
|     1 |         29 |         22 | 
|     1 |         36 |         22 | 
|     1 |          7 |         16 | 
|     1 |         17 |         26 | 
|     1 |         35 |          3 | 
|     1 |         22 |         17 | 
|     1 |         44 |         17 | 
|     1 |         22 |         25 | 
|     1 |         31 |          6 | 
|     1 |         32 |         42 | 
|     1 |         41 |         49 | 
|     1 |         42 |         30 | 
|     1 |         20 |         21 | 
|     1 |         23 |         40 | 
|     1 |         18 |         26 | 
|     1 |          7 |          6 | 
|     1 |          7 |         22 | 
|     1 |         26 |         20 | 
|     1 |         52 |          7 | 
|     1 |         21 |         36 | 
|     1 |          7 |         24 | 
|     1 |         27 |         33 | 
|     1 |         19 |         16 | 
|     1 |         13 |         26 | 
|     1 |         22 |          9 | 
|     1 |         13 |         24 | 
|     1 |          6 |          0 | 
|     1 |         15 |         18 | 
|     1 |         43 |         17 | 
|     1 |         29 |         37 | 
|     1 |         29 |          7 | 
|     1 |         25 |         30 | 
|     1 |         32 |         14 | 
|     1 |         15 |          0 | 
|     1 |         14 |         45 | 
|     1 |         26 |         23 | 
|     1 |         30 |          3 | 
|     1 |         30 |         13 | 
|     1 |         26 |         37 | 
|     1 |          7 |         30 | 
|     1 |          7 |         34 | 
|     1 |         48 |         17 | 
|     1 |         30 |          8 | 
|     1 |          0 |         26 | 
|     1 |          7 |         29 | 
|     1 |         51 |         14 | 
|     1 |         45 |         20 | 
|     1 |         10 |         41 | 
|     1 |         21 |         28 | 
|     1 |         14 |         27 | 
|     1 |         10 |         25 | 
|     1 |         15 |         42 | 
|     1 |         15 |         31 | 
|     1 |         38 |         20 | 
|     1 |         12 |         13 | 
|     1 |         17 |         21 | 
|     1 |         31 |         37 | 
|     1 |         35 |         30 | 
|     1 |         32 |         10 | 
|     1 |         56 |         21 | 
|     1 |         37 |          8 | 
|     1 |         36 |          0 | 
|     1 |         19 |         12 | 
|     1 |         14 |         35 | 
|     1 |         14 |         38 | 
|     1 |         34 |         38 | 
|     1 |         26 |         30 | 
|     1 |         21 |         20 | 
|     1 |         33 |          6 | 
|     1 |          3 |         20 | 
|     1 |          7 |         10 | 
|     1 |         22 |         40 | 
|     1 |         21 |         10 | 
|     1 |         25 |         33 | 
|     1 |         34 |          6 | 
|     1 |          9 |         16 | 
|     1 |         25 |         38 | 
|     1 |         33 |          7 | 
|     1 |         26 |         12 | 
|     1 |         45 |         21 | 
|     1 |         16 |         30 | 
|     1 |         27 |         14 | 
|     1 |         37 |         13 | 
|     1 |         40 |         35 | 
|     1 |          7 |         26 | 
|     1 |         12 |         20 | 
|     1 |         34 |         26 | 
|     1 |         12 |         23 | 
|     1 |          9 |         13 | 
|     1 |          3 |         10 | 
|     1 |         18 |         24 | 
|     1 |         14 |         33 | 
|     1 |         16 |         25 | 
|     1 |         16 |         20 | 
|     1 |          3 |         31 | 
|     1 |         24 |          0 | 
|     1 |         28 |         38 | 
|     1 |         10 |         22 | 
|     1 |         19 |         27 | 
|     1 |         24 |         26 | 
|     1 |         23 |         31 | 
|     1 |         31 |         33 | 
|     1 |         51 |         24 | 
|     1 |         24 |         22 | 
|     1 |         24 |         31 | 
|     1 |          3 |         23 | 
|     1 |         49 |          7 | 
|     1 |         29 |         28 | 
|     1 |         37 |         34 | 
|     1 |         31 |         39 | 
|     1 |         28 |         18 | 
|     1 |          7 |         38 | 
|     1 |          6 |          3 | 
+-------+------------+------------+
524 rows in set (0.00 sec)
