mysql> SELECT week, away_team, away_score, home_team, home_score, spread, (home_score - away_score + spread) AS cushion FROM pl_games WHERE season = 2012 AND week > 0 AND home_score IS NOT NULL ORDER BY cushion DESC;
+------+-----------+------------+-----------+------------+--------+---------+
| week | away_team | away_score | home_team | home_score | spread | cushion |
|    6 | DEN       |         35 | SD        |         24 |    0.5 |   -10.5 |
|    3 | KC        |         27 | NO        |         24 |   -8.5 |   -11.5 |
|    4 | MIN       |         20 | DET       |         13 |   -4.5 |   -11.5 |
|   10 | STL       |         24 | SF        |         24 |  -11.5 |   -11.5 |
|    2 | HOU       |         27 | JAX       |          7 |    7.5 |   -12.5 |
|    9 | DET       |         31 | JAX       |         14 |    4.5 |   -12.5 |
|    1 | SF        |         30 | GB        |         22 |   -4.5 |   -12.5 |
|   10 | DAL       |         38 | PHI       |         23 |    1.5 |   -13.5 |
|    8 | SF        |         24 | ARI       |          3 |    7.5 |   -13.5 |
|   10 | IND       |         27 | JAX       |         10 |    3.5 |   -13.5 |
|    1 | ATL       |         40 | KC        |         24 |    2.5 |   -13.5 |
|    4 | CIN       |         27 | JAX       |         10 |    2.5 |   -14.5 |
|   12 | STL       |         31 | ARI       |         17 |   -0.5 |   -14.5 |
|    1 | WAS       |         40 | NO        |         32 |   -7.5 |   -15.5 |
|    8 | ATL       |         30 | PHI       |         17 |   -2.5 |   -15.5 |
|   11 | NO        |         38 | OAK       |         17 |    5.5 |   -15.5 |
|    1 | NE        |         34 | TEN       |         13 |    5.5 |   -15.5 |
|    2 | ARI       |         20 | NE        |         18 |  -13.5 |   -15.5 |
|    4 | SD        |         37 | KC        |         20 |    0.5 |   -16.5 |
|   10 | DEN       |         36 | CAR       |         14 |    4.5 |   -17.5 |
|   11 | NYJ       |         27 | STL       |         13 |   -3.5 |   -17.5 |
|   14 | SD        |         34 | PIT       |         24 |   -7.5 |   -17.5 |
|   11 | CIN       |         28 | KC        |          6 |    3.5 |   -18.5 |
|    4 | CHI       |         34 | DAL       |         18 |   -3.5 |   -19.5 |
|    4 | NE        |         52 | BUF       |         28 |    4.5 |   -19.5 |
|    6 | GB        |         42 | HOU       |         24 |   -3.5 |   -21.5 |
|    8 | MIA       |         30 | NYJ       |          9 |   -1.5 |   -22.5 |
|   12 | NE        |         49 | NYJ       |         19 |    6.5 |   -23.5 |
|    8 | TB        |         36 | MIN       |         17 |   -6.5 |   -25.5 |
|    3 | ATL       |         27 | SD        |          3 |   -2.5 |   -26.5 |
|    9 | CHI       |         51 | TEN       |         20 |    3.5 |   -27.5 |
|    3 | NYG       |         36 | CAR       |          7 |    1.5 |   -27.5 |
|    6 | NYG       |         26 | SF        |          3 |   -6.5 |   -29.5 |
|    4 | SF        |         34 | NYJ       |          0 |    4.5 |   -29.5 |
|    8 | NE        |         45 | STL       |          7 |    7.5 |   -30.5 |
|    5 | CHI       |         41 | JAX       |          3 |    5.5 |   -32.5 |
|   10 | TEN       |         37 | MIA       |          3 |   -5.5 |   -39.5 |
+------+-----------+------------+-----------+------------+--------+---------+
206 rows in set (0.00 sec)

